               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082261,            0.033259,            0.021282,             0.42408,             0.62628,             0.49737,             0.20736,            0.037877,            0.012132,            0.017823,              0.0029,              0.0029,              0.0739
                   1,            0.058143,            0.023154,           0.0099819,             0.42807,             0.76547,             0.69987,             0.22063,            0.038199,           0.0070713,            0.011154,           0.0057053,           0.0057053,            0.046705
                   2,            0.048293,            0.017921,            0.005415,             0.58752,             0.84909,             0.71366,             0.31203,            0.032971,           0.0054353,            0.017094,           0.0083126,           0.0083126,            0.019313
                   3,            0.040965,            0.015881,           0.0043681,             0.63695,             0.71508,             0.72651,             0.33398,            0.030091,           0.0062383,            0.024357,             0.00901,             0.00901,             0.00901
                   4,            0.034571,            0.014132,           0.0034858,             0.72322,             0.82115,             0.84599,             0.45365,              0.0265,           0.0061003,            0.019436,             0.00901,             0.00901,             0.00901
                   5,            0.031203,            0.014329,           0.0027307,             0.89476,             0.91857,             0.94644,             0.62306,            0.019617,           0.0047639,            0.013599,             0.00868,             0.00868,             0.00868
                   6,            0.028786,            0.013218,           0.0025934,               0.906,             0.85435,             0.93326,             0.63656,            0.019804,           0.0046713,            0.015007,             0.00835,             0.00835,             0.00835
                   7,            0.028277,            0.013299,           0.0026255,             0.94518,             0.93928,              0.9739,             0.62348,            0.019058,           0.0038858,            0.011716,             0.00802,             0.00802,             0.00802
                   8,            0.025781,            0.012996,           0.0024091,             0.93547,             0.93455,             0.97034,             0.61917,             0.02185,           0.0039498,            0.013262,             0.00769,             0.00769,             0.00769
                   9,            0.025202,             0.01253,            0.002069,             0.93974,             0.91381,             0.96824,             0.67578,             0.01939,           0.0041739,            0.011137,             0.00736,             0.00736,             0.00736
                  10,            0.024218,            0.012202,           0.0021138,             0.95228,             0.94205,             0.97969,             0.71218,            0.017943,           0.0038983,             0.01081,             0.00703,             0.00703,             0.00703
                  11,             0.02291,              0.0117,           0.0020235,             0.95903,             0.95728,             0.98345,             0.74976,            0.016944,           0.0036709,           0.0063688,              0.0067,              0.0067,              0.0067
                  12,            0.022259,            0.011479,           0.0017537,             0.92638,             0.95167,             0.96655,             0.66113,            0.018164,            0.005012,            0.005094,             0.00637,             0.00637,             0.00637
                  13,            0.021655,            0.011301,           0.0018119,             0.93808,             0.97084,             0.98068,             0.71934,            0.016562,           0.0037782,            0.009443,             0.00604,             0.00604,             0.00604
                  14,            0.021224,            0.010994,           0.0015959,             0.93399,             0.96157,              0.9778,             0.69335,            0.016521,           0.0036883,             0.01403,             0.00571,             0.00571,             0.00571
                  15,            0.020616,            0.011093,           0.0015513,             0.96497,             0.96317,             0.98462,             0.74173,            0.015843,           0.0035994,           0.0074092,             0.00538,             0.00538,             0.00538
                  16,            0.020368,            0.010837,           0.0012393,             0.98469,                0.97,             0.98817,             0.74599,            0.016187,           0.0035731,           0.0058363,             0.00505,             0.00505,             0.00505
                  17,            0.020091,            0.010595,           0.0013397,             0.96407,             0.96652,             0.98374,             0.74022,             0.01532,           0.0037829,             0.01077,             0.00472,             0.00472,             0.00472
                  18,            0.019167,            0.010604,           0.0012426,             0.96657,             0.96803,              0.9834,             0.75019,            0.015023,             0.00401,            0.010843,             0.00439,             0.00439,             0.00439
                  19,            0.018794,            0.010718,           0.0013151,             0.96237,             0.94342,             0.98067,             0.73097,            0.015796,           0.0038219,            0.013605,             0.00406,             0.00406,             0.00406
                  20,            0.018603,             0.01024,              0.0011,             0.97439,             0.96297,             0.98425,              0.7447,            0.015735,           0.0038285,             0.01034,             0.00373,             0.00373,             0.00373
                  21,            0.018111,            0.010122,           0.0011209,             0.94931,             0.94929,             0.98075,             0.74366,             0.01511,            0.003684,            0.011801,              0.0034,              0.0034,              0.0034
                  22,            0.017134,            0.010105,          0.00090968,             0.94599,             0.97502,             0.98013,             0.73358,            0.015278,           0.0037218,            0.012765,             0.00307,             0.00307,             0.00307
                  23,            0.017009,           0.0095598,          0.00097967,             0.94917,             0.95953,             0.98306,             0.76054,             0.01449,           0.0036579,            0.011023,             0.00274,             0.00274,             0.00274
                  24,            0.016869,           0.0098722,            0.000904,             0.95653,             0.97869,             0.98419,             0.75423,            0.015318,           0.0035756,           0.0089775,             0.00241,             0.00241,             0.00241
                  25,            0.016521,           0.0098137,          0.00094984,             0.97161,             0.96952,             0.98446,             0.74142,            0.015083,           0.0038101,           0.0084954,             0.00208,             0.00208,             0.00208
                  26,            0.016515,           0.0097267,          0.00074692,             0.96022,             0.96123,             0.98462,              0.7592,            0.014652,           0.0037262,           0.0081291,             0.00175,             0.00175,             0.00175
                  27,            0.015956,           0.0093306,          0.00082641,               0.977,             0.95629,             0.98573,             0.74724,             0.01511,           0.0040554,            0.008122,             0.00142,             0.00142,             0.00142
                  28,            0.015658,            0.009219,          0.00088342,             0.97148,             0.96995,             0.98777,             0.75426,            0.014655,           0.0039434,           0.0076554,             0.00109,             0.00109,             0.00109
                  29,            0.015508,           0.0094573,          0.00079907,              0.9833,             0.96952,             0.98701,             0.76669,            0.014508,           0.0038555,           0.0062076,             0.00076,             0.00076,             0.00076
